"Statistic","Year","County","School Programme","UNIT","VALUE"
"Classes in National Schools","1999","Wicklow","Pupils with special needs in mainstream national schools","Number","20"
"Classes in National Schools","1999","Wicklow","Pupils in special national schools","Number","29"
"Classes in National Schools","1999","Clare","All first level school programmes","Number","501"
"Classes in National Schools","1999","Clare","All mainstream national school programmes","Number","466"
"Classes in National Schools","1999","Clare","Pupils with special needs in mainstream national schools","Number","20"
"Classes in National Schools","1999","Clare","Pupils in special national schools","Number","15"
"Classes in National Schools","1999","Cork City","All first level school programmes","Number","674"
"Classes in National Schools","1999","Cork City","All mainstream national school programmes","Number","598"
"Classes in National Schools","1999","Cork City","Pupils with special needs in mainstream national schools","Number","27"
"Classes in National Schools","1999","Cork City","Pupils in special national schools","Number","49"
"Classes in National Schools","1999","Cork County","All first level school programmes","Number","1443"
"Classes in National Schools","1999","Cork County","All mainstream national school programmes","Number","1370"
"Classes in National Schools","1999","Cork County","Pupils with special needs in mainstream national schools","Number","41"
"Classes in National Schools","1999","Cork County","Pupils in special national schools","Number","32"
"Classes in National Schools","1999","Kerry","All first level school programmes","Number","644"
"Classes in National Schools","1999","Kerry","All mainstream national school programmes","Number","593"
"Classes in National Schools","1999","Kerry","Pupils with special needs in mainstream national schools","Number","25"
"Classes in National Schools","1999","Kerry","Pupils in special national schools","Number","26"
"Classes in National Schools","1999","Limerick","All first level school programmes","Number",""
"Classes in National Schools","1999","Limerick","All mainstream national school programmes","Number",""
"Classes in National Schools","1999","Limerick","Pupils with special needs in mainstream national schools","Number",""
"Classes in National Schools","1999","Limerick","Pupils in special national schools","Number",""
"Classes in National Schools","1999","Limerick City","All first level school programmes","Number","314"
"Classes in National Schools","1999","Limerick City","All mainstream national school programmes","Number","275"
"Classes in National Schools","1999","Limerick City","Pupils with special needs in mainstream national schools","Number","15"
"Classes in National Schools","1999","Limerick City","Pupils in special national schools","Number","24"
"Classes in National Schools","1999","Limerick County","All first level school programmes","Number","578"
"Classes in National Schools","1999","Limerick County","All mainstream national school programmes","Number","538"
"Classes in National Schools","1999","Limerick County","Pupils with special needs in mainstream national schools","Number","17"
"Classes in National Schools","1999","Limerick County","Pupils in special national schools","Number","23"
